原文: 第四章  爆裂  positive_prob: 0.526412  confidence: 0.471761  negative_prob: 0.473588  sentiment: 1.000000  
 原文:     1  positive_prob: 0.458396  confidence: 0.167930  negative_prob: 0.541604  sentiment: 1.000000  
 原文:     “他”用双筒望远镜焦点锁定的，是一个身穿天蓝色泳衣的女子。  positive_prob: 0.780866  confidence: 0.513036  negative_prob: 0.219134  sentiment: 2.000000  
 原文:     那女子直起上半身，坐在廉价的塑料席上，戴着深色的太阳镜，可能是香奈儿牌的。  positive_prob: 0.088873  confidence: 0.802505  negative_prob: 0.911127  sentiment: 0.000000  
 原文:     她身边的男子躺着，也戴着太阳镜，似乎涂了晒黑油，全身都闪闪发光，凸现肋骨的胸部有点发红。  positive_prob: 0.645111  confidence: 0.211358  negative_prob: 0.354889  sentiment: 2.000000  
 原文:     女子似乎不愿把皮肤晒黑，随着海滨大遮阳伞底下阴影的移动，她频繁地改变着自己的位置，不时还在手脚上涂着些什么，应藏是防晒霜之类的东西吧。  positive_prob: 0.084376  confidence: 0.812497  negative_prob: 0.915624  sentiment: 0.000000  
 原文:     今天的阳光真够强烈的，虽然她这样防晒，可还是防不胜防。她的泳装肩带只要挪一下位置，没被晒黑的嫩白肌肤立即就会显露出来。  positive_prob: 0.512589  confidence: 0.748217  negative_prob: 0.487411  sentiment: 1.000000  
 原文:     女子皱眉对男子说了些什么，好像是在说，在这样的地方待久了，皮肤受伤了没办法恢复。男子依然躺着，笑着回答了几句，应该是在说“你说要来海边的嘛，所以我才带你来的啊”之类的话。  positive_prob: 0.183247  confidence: 0.592785  negative_prob: 0.816753  sentiment: 0.000000  
 原文:     “都9月份了，没想到阳光还这么毒啊。”  positive_prob: 0.633498  confidence: 0.185551  negative_prob: 0.366502  sentiment: 2.000000  
 原文:     “说什么呢，以后紫外线会越来越强的。”  positive_prob: 0.368017  confidence: 0.182185  negative_prob: 0.631983  sentiment: 0.000000  
 原文:     “他”一边用望远镜观望着，一边在心里进行着配音译制。“他”看见女子把披在身上的毛巾取下来，摘下太阳镜站起来了，手牵着充气垫。  positive_prob: 0.603777  confidence: 0.119503  negative_prob: 0.396223  sentiment: 2.000000  
 原文:     “我要去游泳了，你去吗？”  positive_prob: 0.195991  confidence: 0.564464  negative_prob: 0.804009  sentiment: 0.000000  
