原文: 第五章  脱离  positive_prob: 0.485962  confidence: 0.719247  negative_prob: 0.514038  sentiment: 1.000000  
 原文:     1  positive_prob: 0.458396  confidence: 0.167930  negative_prob: 0.541604  sentiment: 1.000000  
 原文:     空调在天气最恶劣的时候发生了故障。从梅雨季节到现在都过去一周了，当地上午的气温还持续超过30摄氏度，今天也是如此。闷热！听说过几天气温还要继续升高。  positive_prob: 0.041893  confidence: 0.906905  negative_prob: 0.958107  sentiment: 0.000000  
 原文:     上村宏左手拿着把扇子，每敲一会儿键盘就用它扇扇脸，再拿放在旁边的那个有点脏了的毛巾擦擦脖子上的汗。虽然窗户大开着，却根本没有一丝风。他以前从来在意过电脑释放出来的那点热量，今天却对这一切厌恶至极。  positive_prob: 0.017865  confidence: 0.960300  negative_prob: 0.982135  sentiment: 0.000000  
 原文:     他扇着扇子忽然想，要不上厨房去待会儿吧。在他家，除了这间被用做工作室的欧式房间，那间被用做卧室的六块榻榻米大的日式房间里也安了空调，如果卧室和厨房之间的隔扇打开，厨房应该很凉快。  positive_prob: 0.194704  confidence: 0.567325  negative_prob: 0.805296  sentiment: 0.000000  
 原文:     但他又觉得不行，因为儿子忠广正在卧室里睡觉，现在的状况也非同寻常。  positive_prob: 0.306932  confidence: 0.317928  negative_prob: 0.693068  sentiment: 0.000000  
 原文:     这孩于天生体弱多病，虽然上小学二年级了，可感冒起来就没完没了。四天前他说头痛，然后就高烧不退，到现在一点儿好转都没有。吃饭能暂时缓解一下，但一到晚上体温就又上去了。昨天晚上烧到差不多39摄氏度，吓得上村宏一直守在他身边，根本没办法工作。  positive_prob: 0.173901  confidence: 0.613554  negative_prob: 0.826099  sentiment: 0.000000  
 原文:     上村宏是一名自由撰稿人，与四家出版社，还有一些期刊杂志社有合约。其中一家的截犒日期迫在眉睫，今天傍晚之前，他必须总结好那个关于手机有什么新玩法的采访材料。如果不是因为这个，他应该还陪在儿子的旁边。  positive_prob: 0.672298  confidence: 0.271774  negative_prob: 0.327701  sentiment: 2.000000  
 原文:     虽然让房间太冷不是好事，可如果热得让人睡不着觉，体能不也被白白消耗了吗？他想让忠广在冷气开放适度的房间里，安静地睡觉。  positive_prob: 0.086441  confidence: 0.807908  negative_prob: 0.913559  sentiment: 0.000000  
 原文:     他看了看桌上的时钟，刚过午后两点，距离和出版社约好的时间还差三个小时。这要在平时，也没什么好为难的，但要在这个桑拿房一样的屋子里集中注意力却极其困难。从窗外传来的噪音今天也显得特别刺耳。  positive_prob: 0.013020  confidence: 0.971067  negative_prob: 0.986980  sentiment: 0.000000  
 原文:     他把毛巾顶在头上，双手刚要触摸键盘，门铃忽然响了。他一脸厌烦地站起来，从柜子的抽屉里拿出钱包。他想，又是收什么费的吧。  positive_prob: 0.032931  confidence: 0.926820  negative_prob: 0.967069  sentiment: 0.000000  
 原文:     打开门一看，站在那里的却是邻居竹田幸惠。幸惠是忠广的同学竹田亮太的母亲。  positive_prob: 0.271329  confidence: 0.397046  negative_prob: 0.728671  sentiment: 0.000000  
 原文:     “哎呀，有什么事吗？”他想，或许她是来通知开家长会的。  positive_prob: 0.167222  confidence: 0.628394  negative_prob: 0.832778  sentiment: 0.000000  
 原文:     “没有什么事，宝贝忠广感冒还没好吗？”  positive_prob: 0.097944  confidence: 0.782347  negative_prob: 0.902056  sentiment: 0.000000  
 原文:     “嗯，”上村点了点头，“哎，小家伙还是那样。”  positive_prob: 0.277760  confidence: 0.382755  negative_prob: 0.722240  sentiment: 0.000000  
 原文:     “什么，你说得倒是轻松。你好好照看他了吗？就是因为你工作忙丢下他不管，才弄成这样的。”  positive_prob: 0.304186  confidence: 0.324032  negative_prob: 0.695814  sentiment: 0.000000  
 原文:     “怎么会丢下他不管呢？我是让他先睡会儿。”  positive_prob: 0.285441  confidence: 0.365686  negative_prob: 0.714559  sentiment: 0.000000  
 原文:     “你让开点！”幸惠脱下凉鞋，手里拿着超市的袋子进了房间，“哎呀！这里怎么这么热呢？你没安空调吗？”  positive_prob: 0.068868  confidence: 0.846960  negative_prob: 0.931132  sentiment: 0.000000  
 原文:     “坏了。不过忠广房间里的没问题。”  positive_prob: 0.358337  confidence: 0.203696  negative_prob: 0.641663  sentiment: 0.000000  
 原文:     幸崽没等上村说完话，就打开了卧室的隔扇。  positive_prob: 0.435464  confidence: 0.032303  negative_prob: 0.564536  sentiment: 0.000000  
 原文:     “忠广！你没事吧？感觉怎么样？”  positive_prob: 0.247128  confidence: 0.450826  negative_prob: 0.752872  sentiment: 0.000000  
 原文:     听见有人在呼唤自己，忠厂慢慢地睁开了眼睛。  positive_prob: 0.440028  confidence: 0.022160  negative_prob: 0.559972  sentiment: 0.000000  
 原文:     上村也跟进了卧室。空调的冷气让他心情立刻清爽起来，舒了口气后，他向屋子里望去，发现忠广还躺在褥子上。  positive_prob: 0.568621  confidence: 0.041380  negative_prob: 0.431379  sentiment: 2.000000  
 原文:     “没事吧？”他问儿于。  positive_prob: 0.500319  confidence: 0.993613  negative_prob: 0.499681  sentiment: 1.000000  
 原文:     忠广轻轻点了点头，气色看起来比昨天好了一些。  positive_prob: 0.774094  confidence: 0.497986  negative_prob: 0.225906  sentiment: 2.000000  
 原文:     “肚子饿不饿啊？阿姨给你做点吃的吧！”幸惠坐在褥子旁边问。  positive_prob: 0.290855  confidence: 0.353655  negative_prob: 0.709145  sentiment: 0.000000  
 原文:     “我口渴。”忠广说。  positive_prob: 0.517987  confidence: 0.640265  negative_prob: 0.482013  sentiment: 1.000000  
 原文:     “那，我给你削个苹果吧。阿姨给你买苹果了。”说完她就要站起来，“啊’这是什么呢？”她从褥子旁边拿起了素描画册。  positive_prob: 0.178252  confidence: 0.603885  negative_prob: 0.821748  sentiment: 0.000000  
 原文:     为了不让经常卧床的忠广感到无聊，上村给他买了这本面册，彩色铅笔也经常放在他枕边。  positive_prob: 0.423083  confidence: 0.059816  negative_prob: 0.576917  sentiment: 0.000000  
 原文:     幸惠看的那一页，好像画着一面灰色的墙，中间是个红色的正方形。  positive_prob: 0.748413  confidence: 0.440917  negative_prob: 0.251587  sentiment: 2.000000  
 原文:     “这是什么？”幸惠问。  positive_prob: 0.293587  confidence: 0.347586  negative_prob: 0.706414  sentiment: 0.000000  
 原文:     忠广摇了摇头：“不知道。”  positive_prob: 0.280615  confidence: 0.376412  negative_prob: 0.719385  sentiment: 0.000000  
 原文:     “啊？怎么会呢？不是你画的吗？”  positive_prob: 0.079953  confidence: 0.822328  negative_prob: 0.920047  sentiment: 0.000000  
 原文:     “是我画的你，但是我也弄不明白。”  positive_prob: 0.287214  confidence: 0.361746  negative_prob: 0.712786  sentiment: 0.000000  
 原文:     “嗯？怎么回事呢？”幸惠又问了一次，转身看了看上村。  positive_prob: 0.372736  confidence: 0.171698  negative_prob: 0.627264  sentiment: 0.000000  
 原文:     “刚才我正在睡觉，突然感到身件好像漂浮起来了。”忠广交替看了看幸惠和上村的脸，接着说，“我向窗外一看，就看到这个东西了，它好像在往高处升。”  positive_prob: 0.537564  confidence: 0.248723  negative_prob: 0.462436  sentiment: 1.000000  
 原文:     “画的是什么呢？”  positive_prob: 0.331162  confidence: 0.264085  negative_prob: 0.668838  sentiment: 0.000000  
 原文:     上村从幸惠手里夺过素描画册，盯着那幅画仔细端详起来，然后叉把目光转移向窗外。  positive_prob: 0.678399  confidence: 0.285332  negative_prob: 0.321601  sentiment: 2.000000  
 原文:     这个房间是在公寓的二楼，透过窗户能看见的，只有食品厂的一对拱形大门。  positive_prob: 0.454654  confidence: 0.093080  negative_prob: 0.545346  sentiment: 1.000000  
 原文:     2  positive_prob: 0.511027  confidence: 0.779453  negative_prob: 0.488973  sentiment: 1.000000  
 原文:     刚听说又发现死尸了，草薙连奔赴现场的心情都没有。不用说，他的那些同事们也是这么想的。每个人的表情都仿佛在说：罪犯也该节制点吧。  positive_prob: 0.168455  confidence: 0.625655  negative_prob: 0.831545  sentiment: 0.000000  
 原文:     案发现场是在杉并区的一栋六层公寓的一间屋子里。这栋公寓是专门出租给那些单身的，除了最顶层的房子是两居室结构外，其他都是一居室。尸体在205号房间。这间房的格局是，进门后先过一条狭窄的走廊，里面是厨房和欧式卧室。  positive_prob: 0.606001  confidence: 0.124446  negative_prob: 0.393999  sentiment: 2.000000  
 原文:     死者是个女人，倒在狭小的走廊里，身穿黑色T恤杉和棉质迷你裙，脸上没有化妆。她脸朝下趴着，头朝门的方向。见此睛景，其中一个刑警马上开口说，或许是她缠上哪个男人，被他杀了。草薙觉得这不一定是胡思乱想。  positive_prob: 0.019269  confidence: 0.957180  negative_prob: 0.980731  sentiment: 0.000000  
 原文:     死者身份很快就被查明了，因为房间里有个手提袋，里面有个汽车驾驶执照，照片上的人和死者多半就是一个人。执照上写着的名字是长冢多惠子。很快又得到证实，她的确就住在这间屋子里。根据她的出生日期记录，她上个月刚满二十八岁。  positive_prob: 0.873605  confidence: 0.719123  negative_prob: 0.126394  sentiment: 2.000000  
 原文:     首先发现异常的，是住在隔壁的一个白领。她几乎每天都要经过205号房间，但昨天晚上回家时，她闻到了一股恶心的气味。她知道住在205号的是一个女孩，觉得这可能只是什么偶然的味道，没太在意，直接回到了自已房间。第二天早上，也就是今天早上，那臭味变得更刺鼻了。管理员并不常住在这栋公寓，没办法，她在上班途中只好用手机向公寓管理员汇报了这件事。  positive_prob: 0.022093  confidence: 0.950905  negative_prob: 0.977907  sentiment: 0.000000  
 原文:     接到投诉的物业公司在下午两点钟派出了管理负责人。他在来之前曾经给205号打过电话，但是长冢多惠子好像不在家，电话被转入语音留言信箱了。  positive_prob: 0.153688  confidence: 0.658470  negative_prob: 0.846312  sentiment: 0.000000  
 原文:     管理负责人猜她去旅行了，或者因为什么事外出了，长期不在家。这期间如果生活垃圾腐败了，自然会很臭。大热天，这种事情是常见的，所以他在拿到这间房的钥匙的同时，还预备了垃圾袋和口罩。  positive_prob: 0.053132  confidence: 0.881929  negative_prob: 0.946868  sentiment: 0.000000  
 原文:     事实上他根本没有必要带钥匙和垃圾袋。205号的房门根本没有锁，那腐败的恶臭也不是垃圾发出的。  positive_prob: 0.001742  confidence: 0.996130  negative_prob: 0.998258  sentiment: 0.000000  
 原文:     他戴着口罩开门却是个明智的举措。要是没戴，他一定会当场呕吐的，那么后来的搜查工作也一定会受妨碍。即便如此，在大家把尸体往外抬的时候，管理负责人还是找了个地方把胃里的东西吐了个一干二净。  positive_prob: 0.027460  confidence: 0.938977  negative_prob: 0.972540  sentiment: 0.000000  
 原文:     虽然搜查一科的刑警们已经看惯了死尸，但面对这种状况，他们还是觉得验尸是一件极其痛苦的事情。为了尽可能不接近死尸，草薙直接跑到里面的房间去搜查。即便如此，那腐臭味仍然一直追随着他，让他时不时地想吐。  positive_prob: 0.032499  confidence: 0.927779  negative_prob: 0.967501  sentiment: 0.000000  
 原文:     死者的脖子上有被掐过的痕迹，除此之外没有其他的外伤。据调查，室内没有什么争斗的痕迹。  positive_prob: 0.175033  confidence: 0.611038  negative_prob: 0.824967  sentiment: 0.000000  
 原文:     “肯定啦，就是男人干的。”戴着白手套正在翻房内垃圾箱的刑警说，“男人来到她家，想和她分手，她不想，哭着央求‘别这样’，可人家已经把她玩腻了，很可能那家伙还有老婆、孩子，跟她就是瞎玩。她一直哭着纠缠不放。人家烦了，说出‘我和你已经结束了’之类的话，她也狠狠地说‘你要是真的那么想分手就分手吧！回到你那个母老虎身边去吧！但是你要做好心理准备，我会把咱们这点事全抖搂出来，跟你老婆说，跟你公司说…… ’男的着急了，‘你等等！千万不能这么敲啊！’‘你不知道吗？我说到做到！’女的歇斯底里地喊，‘我不会再听你的啦！’你看她临死的姿势，不是在给那儿打电话吗？男人把她的电话切断了，又把她残忍地勒死了。事情经过就是这样。”  positive_prob: 0.010440  confidence: 0.976800  negative_prob: 0.989560  sentiment: 0.000000  
 原文:     这位比草薙年长一岁的刑警名叫弓削，他有个毛病，就是喜欢这样快言快语地把心里想的事全都抖搂出来，而听他说话似乎也成了同事们的乐趣之一。连特别讨厌别人说废话的间宫长官，此时也在苦笑着听他高谈阔论。  positive_prob: 0.611347  confidence: 0.136327  negative_prob: 0.388653  sentiment: 2.000000  
 原文:     但他说的不无道理。一旦单身女性被杀，警察首先要做的就是对她的异性关系展开调查，这已经是侦察常规了。就连草薙也一直在翻看她的往来书信，因为他想知道她有什么特定的男性朋友没有。  positive_prob: 0.116440  confidence: 0.741243  negative_prob: 0.883560  sentiment: 0.000000  
 原文:     突然，草薙的手停住了。在信袋里，他发现了一张名片，名片的主人是一个名叫栗田信彦的保险公司推销员。这之所以能引起草薙的注意，是因为在名片空白的地方写着“22日再来见你”。  positive_prob: 0.340663  confidence: 0.242971  negative_prob: 0.659337  sentiment: 0.000000  
 原文:     “头儿！”他召唤间宫，把名片递给他看。  positive_prob: 0.653689  confidence: 0.230419  negative_prob: 0.346311  sentiment: 2.000000  
 原文:     胖墩墩的间宫用那短而胖的手指捏着名片。  positive_prob: 0.631942  confidence: 0.182092  negative_prob: 0.368058  sentiment: 2.000000  
 原文:     “哦，保险公司的推销员，在22日……”  positive_prob: 0.456352  confidence: 0.127049  negative_prob: 0.543647  sentiment: 1.000000  
 原文:     “死者不就是22日左右死的吗？”草薙说，“今天是25日。”  positive_prob: 0.076787  confidence: 0.829363  negative_prob: 0.923213  sentiment: 0.000000  
 原文:     “有必要和他谈谈。”说完，间宫把名片还给草薙.发现尸体第二天的傍晚，草薙和弓削一起走访了栗田信彦的工作单位。没有立刻去找他，是有缘由的，因为事后他们弄清楚了一件事，那就是栗田在名片上所写的22日这个日期，的确有很重要的意义。  positive_prob: 0.628205  confidence: 0.173790  negative_prob: 0.371795  sentiment: 2.000000  
 原文:     在22日的上午，死者长冢多惠子和住在附近的妹妹在咖啡店里见面了，她们来商量给马上要退休的父亲买什么礼物。姐姐还开玩笑说，这真是一笔计划外的支出。  positive_prob: 0.936748  confidence: 0.859439  negative_prob: 0.063253  sentiment: 2.000000  
 原文:     妹妹清楚地记得，姐妹俩当天吃的是豆沙水果凉粉，这是两个人都特别喜欢的食物，一定不会记错。  positive_prob: 0.653527  confidence: 0.230060  negative_prob: 0.346473  sentiment: 2.000000  
 原文:     司法解剖的时候，在长冢多惠子的胃里的确发现了小豆，可能就是放在豆沙水果凉粉里的小豆。根据它们的消化状态可以推定，她在下午1点多，和妹妹分手之后不到三个小时，就遇害了。也就是说，推定的犯罪时间是在22日下午1点到4点。  positive_prob: 0.771188  confidence: 0.491529  negative_prob: 0.228812  sentiment: 2.000000  
 原文:     在咖啡店和妹妹分手前，长冢多惠子好像还说“一会儿还有人要来找我”，这个人会不会就是栗田信彦呢？  positive_prob: 0.307839  confidence: 0.315912  negative_prob: 0.692161  sentiment: 0.000000  
 原文:     此外，长冢多惠子公司的同事也说了些意味深长的话。据说，长冢多惠子的上司曾经介绍她和栗田信彦相亲，而惠子好像并不满意，这事就算黄了。但是机缘巧合，惠子恰好在栗田信彦所在的保险公司投保，听说他也给了她很多好处。  positive_prob: 0.767209  confidence: 0.482686  negative_prob: 0.232791  sentiment: 2.000000  
 原文:     她的同事们估计，可能是栗田对长冢多惠子依旧念念不忘，才一直想方设法和她保持联系。  positive_prob: 0.933012  confidence: 0.851137  negative_prob: 0.066989  sentiment: 2.000000  
 原文:     栗田的工作单位就在九段下车站的旁边。一进去，站在前台年轻的女职员就微笑着打起招呼。弓削自我介绍说是警察，有点事想跟栗田谈，女职员毫不迟疑地说了声“请稍等”，就进去了。  positive_prob: 0.175376  confidence: 0.610276  negative_prob: 0.824624  sentiment: 0.000000  
 原文:     几分钟后一个穿套装的男人出现了。他个子虽矮，但衣着非常整齐，头发三七开，满脸都堆着职业笑容，甚至连眉毛都精心修饰过，草薙看到他光滑的皮肤，就马上联想到他刚洗过澡。  positive_prob: 0.758574  confidence: 0.463499  negative_prob: 0.241426  sentiment: 2.000000  
 原文:     “那个，在下就是粟田信彦。”粟田看了看草薙他们。草薙察觉到他的眼神里明显有要给客人划分等级的意味，虽然笑容可掬，却心怀戒备。  positive_prob: 0.134755  confidence: 0.700544  negative_prob: 0.865245  sentiment: 0.000000  
 原文:     弓削一边笑，一边走过前台，凑到他面前说：“我们是警察，有点事想问问你。”  positive_prob: 0.219830  confidence: 0.511490  negative_prob: 0.780170  sentiment: 0.000000  
 原文:     或许天生就是个胆小的人吧，这一句话把栗田的脸都吓白了。  positive_prob: 0.105527  confidence: 0.765495  negative_prob: 0.894473  sentiment: 0.000000  
 原文:     他们出了保险公司，来到附近的咖啡店。弓削把事情大致描述了一下，栗田吓得浑身抽搐起来。他说根本就不知道长冢多惠子死了，想详细地了解一下情况。他连眼睛都充血了。草薙心想，如果这都是装的，他的演技也太了不起了。  positive_prob: 0.049999  confidence: 0.888892  negative_prob: 0.950001  sentiment: 0.000000  
 原文:     “你最后一次见长冢小姐是在什么时候？”弓削问。  positive_prob: 0.039266  confidence: 0.912742  negative_prob: 0.960734  sentiment: 0.000000  
 原文:     “这个，那是……”栗田拿出工作日志，手微微颤抖地打开了那一页，“是21日，星期五的傍晚，因为要和她办理汽车保险的更新手续。”  positive_prob: 0.222468  confidence: 0.505626  negative_prob: 0.777532  sentiment: 0.000000  
 原文:     “要是星期五的话，她应该还在公司上班吧！”  positive_prob: 0.312040  confidence: 0.306578  negative_prob: 0.687960  sentiment: 0.000000  
 原文:     “不，我问过她，她那天放假。”  positive_prob: 0.265202  confidence: 0.410661  negative_prob: 0.734798  sentiment: 0.000000  
 原文:     栗田说的是事实。长冢多惠子就职的那家化妆品公司，由于在7月20日的海洋纪念日没有休假，就在21日补假，这样一来，周五、周六、周日三天连放。虽然他知道这个情况，但也不能完全信任他。  positive_prob: 0.142701  confidence: 0.682888  negative_prob: 0.857299  sentiment: 0.000000  
