原文: 第一章  预知梦  positive_prob: 0.539501  confidence: 0.209972  negative_prob: 0.460499  sentiment: 1.000000  
 原文:     1  positive_prob: 0.458396  confidence: 0.167930  negative_prob: 0.541604  sentiment: 1.000000  
 原文:     尽管房子周围被高高的围墙围得严严实实，翻起来却并不费力。男子是开着车来的，是那种家用轻型卡车。他踩着卡车的货箱，轻而易举就攀上了围墙，然后不做停留，直接进入了院子。  positive_prob: 0.280528  confidence: 0.376604  negative_prob: 0.719472  sentiment: 0.000000  
 原文:     院子很宽敞，房子也很高大。他并不清楚房间的详细布局，只知道礼美的房间在哪里。但知道这一点就足够了。  positive_prob: 0.990553  confidence: 0.979006  negative_prob: 0.009447  sentiment: 2.000000  
 原文:     房里的灯光全都熄灭了，只有夜明灯还淡淡地照着院落。他尽量避开微弱的灯光，慢慢移动，来到房子的南侧。这边也有院子，草坪的一角支着用来练习高尔夫球的球网。看来房子的主人很喜欢打高尔夫球。房子的主人就是礼美的父亲。  positive_prob: 0.992807  confidence: 0.984015  negative_prob: 0.007193  sentiment: 2.000000  
 原文:     一间库房紧挨着墙。库房很高，即使是滑雪板这样的大件也应该能轻松地放进去。  positive_prob: 0.904291  confidence: 0.787313  negative_prob: 0.095709  sentiment: 2.000000  
 原文:     他站在库房旁边，抬头望着房子，头顶就是阳台，到了阳台上，就能见到礼美了。  positive_prob: 0.853496  confidence: 0.674436  negative_prob: 0.146504  sentiment: 2.000000  
 原文:     他两手搭在库房的房檐上，用引体向上的动作上了房顶。有金属咯吱咯吱的声音发出，不过幸好不大。  positive_prob: 0.099592  confidence: 0.778684  negative_prob: 0.900408  sentiment: 0.000000  
 原文:     站在库房顶上，阳台近在咫尺，他感觉到了内心的激动。窗内，礼美在做什么呢？  positive_prob: 0.867264  confidence: 0.705032  negative_prob: 0.132736  sentiment: 2.000000  
 原文:     他扒着阳台的栏杆，像猴子一样吊起来，又蹬着雨水管的金属零件，攀上了阳台，几年前曾练过的器械体操现在派上了用场。  positive_prob: 0.288185  confidence: 0.359590  negative_prob: 0.711815  sentiment: 0.000000  
 原文:     他朝房间走去，那窗帘拉得严严实实。  positive_prob: 0.282186  confidence: 0.372921  negative_prob: 0.717814  sentiment: 0.000000  
 原文:     他把手伸向落地窗，轻轻向两边用力，拉开了窗子。他放心地松了一口气。礼美你果然在等着我呢……  positive_prob: 0.942518  confidence: 0.872262  negative_prob: 0.057482  sentiment: 2.000000  
